,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
0,Bubaque,0,GW,1581544763,70,11.28,11.28,26.63,7.11
1,Rikitea,100,PF,1581544287,78,-23.12,-23.12,26.17,7.83
2,New Norfolk,90,AU,1581544766,76,-42.78,-42.78,15.56,1.5
3,Anupshahr,1,IN,1581544768,71,28.37,28.37,13.81,4.24
4,Tasiilaq,100,GL,1581544557,82,65.61,65.61,-8.51,17.74
5,Vostok,100,RU,1581544771,97,46.49,46.49,-3.12,0.88
6,Carnarvon,40,AU,1581544669,83,-24.87,-24.87,23.0,5.7
7,Shetpe,71,KZ,1581544774,92,44.17,44.17,-1.8,3.31
8,Faanui,21,PF,1581544531,78,-16.48,-16.48,27.81,6.43
9,Mataura,100,NZ,1581544567,92,-46.19,-46.19,14.44,3.58
10,Port Hardy,40,CA,1581544780,75,50.7,50.7,7.0,4.6
11,Gagra,90,GE,1581544781,80,43.33,43.33,5.0,3.0
12,Kamina,100,CD,1581544783,91,-8.74,-8.74,19.52,1.36
13,Flinders,75,AU,1581544689,100,-34.58,-34.58,23.33,5.1
14,Hilo,20,US,1581544247,57,19.73,19.73,27.0,4.1
15,Ancud,20,CL,1581544788,51,-41.87,-41.87,17.0,5.1
16,Fortuna,20,US,1581544790,81,40.6,40.6,13.33,6.7
17,Alihe,100,CN,1581544792,91,50.57,50.57,-14.9,1.39
18,Avarua,100,CK,1581544393,78,-21.21,-21.21,28.0,5.7
19,Kapaa,75,US,1581544541,73,22.08,22.08,24.0,2.6
20,Luderitz,1,NA,1581544389,82,-26.65,-26.65,19.0,2.1
21,Ushuaia,40,AR,1581544380,57,-54.8,-54.8,11.0,11.3
22,Jamestown,20,US,1581544746,55,42.1,42.1,3.0,4.1
23,Mahon,100,ES,1581544802,87,39.89,39.89,11.0,1.5
24,Yellowknife,40,CA,1581544266,67,62.46,62.46,-30.56,3.6
25,Pevek,0,RU,1581544806,71,69.7,69.7,-20.45,1.04
26,Iqaluit,20,CA,1581544808,61,63.75,63.75,-30.56,6.2
27,Mahebourg,40,MU,1581544225,83,-20.41,-20.41,27.0,5.7
28,Longyearbyen,20,SJ,1581544399,60,78.22,78.22,-15.0,5.7
29,Puerto Ayora,40,EC,1581544387,66,-0.74,-0.74,30.0,9.3
30,Boda,30,CF,1581544814,23,4.32,4.32,23.08,1.92
31,Norman Wells,75,CA,1581544720,68,65.28,65.28,-26.0,4.1
32,Vaini,75,TO,1581544517,78,-21.2,-21.2,28.0,4.6
33,Taoudenni,0,ML,1581544819,35,22.68,22.68,24.01,4.72
34,Roebourne,0,AU,1581544821,63,-20.78,-20.78,26.8,4.63
35,Bilma,98,NE,1581544823,19,18.69,18.69,15.38,1.66
36,Turukhansk,100,RU,1581544825,94,65.82,65.82,-14.54,5.2
37,Atuona,0,PF,1581544521,77,-9.8,-9.8,27.47,7.55
38,Waslala,40,NI,1581544828,54,13.23,13.23,26.0,3.1
39,Troitsko-Pechorsk,100,RU,1581544830,97,62.71,62.71,-8.85,2.25
40,Punta Alta,7,AR,1581544805,34,-38.88,-38.88,31.09,7.96
41,Kodiak,90,US,1581544347,74,57.79,57.79,2.0,10.3
42,Riyadh,0,SA,1581544835,32,24.69,24.69,5.0,1.0
43,Saskylakh,100,RU,1581544576,86,71.92,71.92,-27.55,3.71
44,Kaitangata,100,NZ,1581544687,75,-46.28,-46.28,17.22,6.8
45,Simpang,76,ID,1581544840,96,-1.27,-1.27,23.78,0.85
46,Cabo San Lucas,5,MX,1581544384,52,22.89,22.89,22.78,2.1
47,Namatanai,87,PG,1581544844,77,-3.67,-3.67,28.42,7.88
48,Antofagasta,40,CL,1581544690,68,-23.65,-23.65,22.22,7.2
49,Angoche,21,MZ,1581544847,90,-16.23,-16.23,22.12,2.27
50,Muroto,20,JP,1581544427,93,33.28,33.28,11.0,2.6
51,Weyburn,0,CA,1581544775,63,49.67,49.67,-20.0,4.92
52,Busselton,0,AU,1581544390,49,-33.65,-33.65,21.11,4.31
53,Bluff,89,NZ,1581544344,92,-46.6,-46.6,14.44,3.58
54,Najran,100,SA,1581544856,43,17.49,17.49,11.0,4.1
55,Chui,0,UY,1581544667,61,-33.7,-33.7,23.23,6.14
56,Kourou,75,GF,1581544804,74,5.16,5.16,27.0,2.6
57,Sao Jose da Coroa Grande,3,BR,1581544861,76,-8.9,-8.9,28.05,6.35
58,Port Elizabeth,0,ZA,1581544626,82,-33.92,-33.92,20.0,5.7
59,Plettenberg Bay,0,ZA,1581544865,80,-34.05,-34.05,21.22,1.05
60,Bredasdorp,1,ZA,1581544539,83,-34.53,-34.53,21.0,5.7
61,Barrow,1,US,1581544375,74,71.29,71.29,-30.0,2.1
62,Port Lincoln,88,AU,1581544451,88,-34.73,-34.73,19.07,4.95
63,Taicheng,0,CN,1581544871,63,38.73,38.73,2.54,0.75
64,Thompson,90,CA,1581544873,62,55.74,55.74,-26.0,6.7
65,Tamiahua,69,MX,1581544834,93,21.27,21.27,22.1,4.05
66,Cape Town,3,ZA,1581544690,88,-33.93,-33.93,19.44,3.1
67,Ponta do Sol,20,PT,1581544660,72,32.67,32.67,18.0,2.6
68,Henderson,1,US,1581544633,17,36.04,36.04,16.0,4.1
69,Kromy,100,RU,1581544882,96,52.69,52.69,-2.75,1.57
70,Hithadhoo,70,MV,1581544833,77,-0.6,-0.6,28.26,4.08
71,Klaksvik,42,FO,1581544455,61,62.23,62.23,0.0,4.6
72,Ribeira Grande,20,PT,1581544377,87,38.52,38.52,15.0,2.6
73,George Town,40,MY,1581544801,94,5.41,5.41,26.0,2.6
74,Khash,23,IR,1581544890,88,28.22,28.22,8.4,5.02
75,Hermanus,0,ZA,1581544538,86,-34.42,-34.42,20.56,3.13
76,Mossamedes,15,AO,1581544894,86,-15.2,-15.2,23.52,7.39
77,Williamsburg,90,US,1581544896,66,37.27,37.27,10.0,2.6
78,Nhulunbuy,68,AU,1581544867,94,-12.23,-12.23,28.0,4.6
79,Castro,50,BR,1581544899,92,-24.79,-24.79,19.11,1.44
80,Nantucket,1,US,1581544901,48,41.28,41.28,5.0,5.7
81,Hobart,90,AU,1581544361,76,-42.88,-42.88,15.56,1.5
82,Lebu,0,CL,1581544904,47,-37.62,-37.62,18.53,5.09
83,Cap-aux-Meules,20,CA,1581544906,85,47.38,47.38,-4.0,5.7
84,Souillac,40,MU,1581544908,83,-20.52,-20.52,27.0,5.7
85,Maniitsoq,44,GL,1581544910,62,65.42,65.42,-12.15,6.7
86,Narsaq,0,GL,1581544462,34,60.92,60.92,-15.0,2.6
87,Olafsvik,92,IS,1581544913,63,64.89,64.89,-3.97,6.66
88,Poltavka,38,RU,1581544915,84,54.37,54.37,-17.37,4.37
89,Dikson,100,RU,1581544916,92,73.51,73.51,-7.2,9.73
90,Nikolskoye,90,RU,1581544918,95,59.7,59.7,1.11,3.0
91,Akdepe,0,TM,1581544920,92,42.06,42.06,-6.0,2.1
92,Arraial do Cabo,90,BR,1581544555,94,-22.97,-22.97,22.0,5.1
93,Gambo,0,CF,1581544923,29,4.65,4.65,22.92,1.53
94,Mahanoro,32,MG,1581544925,78,-19.9,-19.9,27.53,5.85
95,Ahipara,49,NZ,1581544419,72,-35.17,-35.17,19.94,2.81
96,Batagay-Alyta,96,RU,1581544928,97,67.8,67.8,-30.52,1.02
97,Livenka,100,RU,1581544930,97,50.45,50.45,-2.29,3.14
98,Lavrentiya,97,RU,1581544932,89,65.58,65.58,-20.83,1.49
99,Ponta Delgada,20,PT,1581544933,87,37.73,37.73,16.0,3.1
100,Avanuorri,40,NO,1581544935,74,71.0,71.0,1.0,9.8
101,Zambezi,100,ZM,1581544937,88,-13.54,-13.54,20.42,0.38
102,Kettering,90,US,1581544939,86,39.69,39.69,2.0,5.1
103,Katsuura,75,JP,1581544941,87,35.13,35.13,16.11,9.8
104,Kerema,100,PG,1581544579,93,-7.96,-7.96,23.59,2.03
105,Port Alfred,0,ZA,1581544610,91,-33.59,-33.59,19.44,0.45
106,Airai,97,TL,1581544948,88,-8.93,-8.93,19.94,1.53
107,Manbij,90,SY,1581544950,92,36.53,36.53,-2.0,3.1
108,Qaanaaq,7,GL,1581544693,57,77.48,77.48,-26.79,1.9
109,Abbeville,94,FR,1581544928,81,50.1,50.1,6.0,3.6
110,Tuatapere,86,NZ,1581544664,92,-46.13,-46.13,14.44,3.58
111,Muros,90,ES,1581544956,100,42.78,42.78,15.0,4.6
112,Buala,89,SB,1581544958,84,-8.14,-8.14,27.04,4.27
113,La Ronge,5,CA,1581544960,47,55.1,55.1,-23.0,4.1
114,Dukat,0,RU,1581544659,12,62.55,62.55,-25.59,0.44
115,Saldanha,1,ZA,1581544963,88,-33.01,-33.01,17.0,6.7
116,Mizan Teferi,62,ET,1581544965,47,6.98,6.98,21.14,1.75
117,Laas,0,IT,1581544752,66,46.62,46.62,3.0,2.1
118,Taltal,99,CL,1581544968,64,-25.4,-25.4,20.39,2.59
119,Mar del Plata,0,AR,1581544691,88,-38.0,-38.0,29.44,4.1
120,Magdalena,20,PH,1581544972,73,14.2,14.2,24.0,1.5
121,Sao Miguel do Araguaia,69,BR,1581544973,79,-13.28,-13.28,28.65,0.93
122,Faya,5,SA,1581544975,53,18.39,18.39,12.0,3.1
123,Dordrecht,20,NL,1581544977,80,51.81,51.81,5.56,2.6
124,Hofn,100,IS,1581544926,82,64.25,64.25,-2.14,10.43
125,Kyaikkami,100,MM,1581544980,65,16.08,16.08,27.23,4.39
126,Rodionovo-Nesvetayskaya,40,RU,1581544982,94,47.61,47.61,2.0,9.0
127,Price,1,US,1581544815,38,39.6,39.6,5.0,8.2
128,Hoa Binh,75,VN,1581544985,94,20.81,20.81,20.0,0.5
129,Sistranda,75,NO,1581544977,80,63.73,63.73,2.0,12.3
130,Codrington,69,AU,1581544943,92,-38.27,-38.27,18.32,9.12
131,Leningradskiy,0,RU,1581544991,96,69.38,69.38,-27.24,4.82
132,Belaya Gora,100,RU,1581544992,96,68.53,68.53,-29.15,0.97
133,Punta Arenas,90,CL,1581544439,41,-53.15,-53.15,15.0,8.2
134,Alofi,90,NU,1581544996,100,-19.06,-19.06,22.0,6.61
135,Mazara del Vallo,97,IT,1581544998,93,37.66,37.66,11.11,4.04
136,Gornyak,0,RU,1581545001,85,50.99,50.99,-18.06,1.34
137,Albany,1,US,1581544644,76,42.6,42.6,5.0,1.32
138,Esperance,90,AU,1581544648,93,-33.87,-33.87,17.0,1.5
139,Beringovskiy,100,RU,1581545007,91,63.05,63.05,-14.08,2.93
140,Bahia de Caraquez,75,EC,1581545009,74,-0.6,-0.6,29.0,5.1
141,Srednekolymsk,88,RU,1581544383,70,67.45,67.45,-32.32,2.78
142,Maroantsetra,100,MG,1581545012,95,-15.43,-15.43,21.77,1.05
143,Sept-Iles,75,CA,1581544972,73,50.2,50.2,-2.78,7.2
144,Yuci,0,CN,1581545016,79,37.68,37.68,-4.0,1.0
145,Boyolangu,99,ID,1581545018,92,-8.12,-8.12,23.07,2.05
146,Huntsville,75,US,1581544941,82,34.73,34.73,21.11,6.2
147,Bowen,0,AU,1581545021,94,-20.02,-20.02,28.89,1.5
148,Clyde River,40,CA,1581545024,75,70.47,70.47,-25.0,7.2
149,Butaritari,100,KI,1581544546,84,3.07,3.07,27.7,8.01
150,Kosh-Agach,23,RU,1581545027,94,50.0,50.0,-25.88,1.2
151,Carbonia,100,IT,1581545029,81,39.17,39.17,12.78,4.1
152,Algiers,67,DZ,1581544996,93,36.75,36.75,9.0,2.07
153,Laguna,1,US,1581545033,34,38.42,38.42,20.0,2.6
154,Prince Rupert,90,CA,1581544844,86,54.32,54.32,3.0,7.2
155,Anadyr,75,RU,1581544865,85,64.75,64.75,-11.0,5.0
156,Bandarbeyla,68,SO,1581545039,78,9.49,9.49,25.16,13.79
157,Itaueira,0,BR,1581545041,71,-7.6,-7.6,26.46,1.33
158,Kavieng,72,PG,1581544618,78,-2.57,-2.57,28.69,6.47
159,San Patricio,75,MX,1581545046,74,19.22,19.22,29.0,5.1
160,Maine Soroa,74,NE,1581545048,20,13.21,13.21,16.64,4.23
161,Mehamn,100,NO,1581545050,73,71.04,71.04,-1.0,10.3
162,Chokurdakh,100,RU,1581544670,81,70.63,70.63,-31.45,1.3
163,Mangrol,0,IN,1581545053,64,21.12,21.12,24.08,5.18
164,Brewster,1,US,1581545055,35,41.4,41.4,6.67,3.6
165,Ternate,100,ID,1581545057,93,0.8,0.8,23.1,0.75
166,Purpe,100,RU,1581545059,88,64.48,64.48,-12.22,6.53
167,Caravelas,46,BR,1581545061,80,-17.71,-17.71,27.26,5.14
168,Bone,54,DE,1581545064,74,51.97,51.97,4.44,5.7
169,Khatanga,89,RU,1581544527,96,71.97,71.97,-19.65,4.41
170,Bara,77,NG,1581545068,21,10.37,10.37,20.08,4.41
171,Cayenne,75,GF,1581544803,74,4.93,4.93,27.0,2.6
172,Alyangula,31,AU,1581545072,83,-13.85,-13.85,29.0,2.1
173,Teruel,100,ES,1581545073,93,40.67,40.67,12.0,4.1
174,Salalah,31,OM,1581545075,37,17.02,17.02,22.0,12.3
175,Scarborough,33,GB,1581544842,76,54.28,54.28,3.89,2.6
176,Portland,90,US,1581544816,81,45.52,45.52,11.11,1.5
177,Tautira,40,PF,1581544989,70,-17.73,-17.73,30.0,3.1
178,Torbay,90,CA,1581544941,92,47.67,47.67,-1.67,11.8
179,Tiksi,36,RU,1581544946,91,71.69,71.69,-33.13,2.4
180,San Joaquin,0,VE,1581545086,86,10.26,10.26,24.49,7.57
181,Vilyuysk,0,RU,1581545088,96,63.76,63.76,-33.57,2.2
182,Cochrane,1,CA,1581544830,78,51.18,51.18,-5.56,4.1
183,Anjiang,100,CN,1581545091,93,27.32,27.32,13.26,0.29
184,Egvekinot,100,RU,1581544691,97,66.32,66.32,-18.14,1.3
185,Juneau,90,US,1581545058,86,58.3,58.3,3.0,11.8
186,Gornopravdinsk,100,RU,1581545097,94,60.05,60.05,-12.17,3.93
187,Talnakh,75,RU,1581545098,84,69.49,69.49,-13.0,13.0
188,Tayoltita,0,MX,1581545100,32,24.08,24.08,20.69,2.66
189,Cidreira,0,BR,1581545102,75,-30.18,-30.18,23.4,10.79
190,Bambous Virieux,40,MU,1581545104,83,-20.34,-20.34,27.0,5.7
191,Zhuhai,20,CN,1581544807,100,22.28,22.28,20.0,1.5
192,Cairns,0,AU,1581544949,62,-16.92,-16.92,30.0,0.5
193,Puli,40,TW,1581545109,88,23.97,23.97,19.44,1.0
194,Puyang,76,CN,1581545111,98,29.46,29.46,12.26,0.59
195,Kasongo-Lunda,100,CD,1581545113,96,-6.47,-6.47,21.01,0.72
196,Sao Filipe,0,CV,1581545115,62,14.9,14.9,22.0,6.04
197,Krabi,20,TH,1581545116,94,8.07,8.07,25.56,1.5
198,Karratha,0,AU,1581545118,72,-20.74,-20.74,27.41,6.87
199,Kupang,75,ID,1581545120,100,-10.17,-10.17,24.0,1.0
200,Tura,0,IN,1581545099,53,25.52,25.52,13.61,0.62
201,Safi,57,MA,1581545011,91,32.3,32.3,12.59,2.61
202,Hasaki,75,JP,1581544911,93,35.73,35.73,12.0,2.1
203,Arrondissement de Villeneuve-sur-Lot,0,FR,1581545127,93,44.5,44.5,8.33,1.5
204,Lompoc,1,US,1581545124,42,34.64,34.64,21.67,4.6
205,Baruun-Urt,100,MN,1581545130,94,46.68,46.68,-12.88,7.51
206,Hobyo,0,SO,1581545132,76,5.35,5.35,25.07,10.08
207,Skerries,90,IE,1581545134,87,53.58,53.58,6.67,8.2
208,Taloqan,100,AF,1581545136,76,36.74,36.74,3.74,1.14
209,Kannur,20,IN,1581545137,94,11.87,11.87,24.0,1.0
210,Hamilton,90,US,1581545130,93,39.18,39.18,2.22,2.6
211,Samana,20,DO,1581545141,83,19.21,19.21,26.0,4.1
212,Touros,75,BR,1581545142,70,-5.2,-5.2,29.0,6.7
213,Caronport,5,CA,1581545144,63,50.45,50.45,-18.33,3.6
214,Rudnichnyy,98,RU,1581545146,94,59.62,59.62,-10.68,2.69
215,Noshiro,75,JP,1581545148,86,40.2,40.2,1.0,2.1
216,Nurobod,100,UZ,1581545150,69,40.91,40.91,3.0,3.1
217,Comodoro Rivadavia,40,AR,1581545152,77,-45.87,-45.87,16.0,2.6
218,Ust-Tsilma,94,RU,1581545154,89,65.44,65.44,-1.52,3.51
219,Paamiut,36,GL,1581545155,56,61.99,61.99,-17.01,6.6
220,Ilulissat,54,GL,1581545157,41,69.22,69.22,-17.0,1.0
221,Tanabi,90,BR,1581545159,73,-20.63,-20.63,25.0,4.1
222,Saint Pete Beach,1,US,1581545161,69,27.73,27.73,30.0,5.7
223,Korla,0,CN,1581544998,81,41.76,41.76,0.56,1.23
224,Matagami,90,CA,1581545164,84,49.75,49.75,-18.0,6.7
225,'Ewa Beach,40,US,1581545166,54,21.32,21.32,26.67,4.6
226,Qaqortoq,0,GL,1581545168,34,60.72,60.72,-15.0,2.6
227,Dokka,98,NO,1581545170,86,60.84,60.84,-4.44,2.73
228,Kem,100,RU,1581545172,94,64.96,64.96,-0.34,5.21
229,Buchanan,96,LR,1581545174,81,5.88,5.88,25.71,2.13
230,Namur,75,BE,1581545176,86,50.47,50.47,5.56,5.1
231,Snihurivka,31,UA,1581545178,99,47.08,47.08,1.11,5.88
232,Barroquinha,5,BR,1581545180,93,-3.02,-3.02,25.06,2.46
233,Pekan,20,MY,1581545181,94,3.48,3.48,25.0,1.0
234,Middle Island,1,US,1581544991,55,40.88,40.88,6.11,2.6
235,Vardo,40,NO,1581545185,79,70.37,70.37,-3.0,12.3
236,Provideniya,75,RU,1581545187,77,64.38,64.38,-15.0,1.12
237,Constitucion,22,CL,1581545189,56,-35.33,-35.33,17.47,8.57
238,Huambo,26,AO,1581545190,90,-12.78,-12.78,16.17,0.69
239,Banda Aceh,40,ID,1581545192,95,5.56,5.56,23.35,1.97
240,Kibre Mengist,96,ET,1581545194,92,5.88,5.88,15.16,0.92
241,Ghatanji,0,IN,1581545196,41,20.13,20.13,21.04,2.07
242,Teguldet,93,RU,1581545197,98,57.31,57.31,-18.37,2.15
243,Almaznyy,40,RU,1581545199,95,48.04,48.04,2.0,9.0
244,Bathsheba,40,BB,1581545201,78,13.22,13.22,26.0,11.3
245,Jiuquan,100,CN,1581545203,47,39.74,39.74,-4.31,1.0
246,Santiago,100,CL,1581545205,35,-33.46,-33.46,29.0,3.6
247,Ipixuna,75,BR,1581545206,88,-1.76,-1.76,27.0,4.6
248,Naze,75,JP,1581545208,88,28.37,28.37,21.0,5.7
249,Yerbogachen,0,RU,1581545210,93,61.28,61.28,-25.58,4.01
250,Zhob,60,PK,1581545212,87,31.34,31.34,6.6,0.81
251,Sinnamary,68,GF,1581545213,79,5.38,5.38,26.08,6.96
252,Lovington,40,US,1581545215,46,32.94,32.94,9.0,10.8
253,Matara,0,LK,1581545217,83,5.95,5.95,23.91,2.05
254,Doka,9,SD,1581545219,39,13.52,13.52,20.38,5.89
255,Jutai,100,BR,1581545221,92,-5.18,-5.18,27.28,0.83
256,Mil'kovo,39,RU,1581545223,93,54.72,54.72,-17.14,0.53
257,Dawei,100,MM,1581545224,59,14.08,14.08,25.97,2.39
258,Cangzhou,0,CN,1581545226,82,38.32,38.32,7.37,3.78
259,Otradnoye,90,RU,1581545121,94,59.78,59.78,1.11,3.0
260,Santa Isabel do Rio Negro,97,BR,1581545229,51,-0.41,-0.41,32.99,1.0
261,San Cristobal,40,VE,1581545231,52,7.77,7.77,31.0,5.1
262,Camacha,20,PT,1581545233,87,33.08,33.08,18.0,1.0
263,Ende,100,ID,1581545235,77,-8.84,-8.84,27.46,3.15
264,Nyurba,0,RU,1581545236,96,63.28,63.28,-31.85,2.05
265,Athabasca,87,CA,1581544807,91,54.72,54.72,-18.44,3.09
266,Aswan,0,EG,1581545240,31,24.09,24.09,14.82,4.37
267,Dwarka,55,IN,1581545242,60,22.24,22.24,24.16,4.46
268,Khani,90,GE,1581545243,93,41.96,41.96,0.0,2.6
269,Rocha,73,UY,1581545245,52,-34.48,-34.48,24.03,6.67
270,Luena,99,AO,1581544729,90,-11.78,-11.78,19.43,2.08
