,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
271,Bilibino,0,RU,1581545249,96,68.05,68.05,-27.4,1.48
272,Prainha,95,BR,1581545250,59,-1.8,-1.8,30.7,2.18
273,Dakar,0,SN,1581545252,57,14.69,14.69,26.0,6.2
274,Nehe,100,CN,1581545255,91,48.48,48.48,-9.62,6.04
275,Koumac,88,NC,1581545257,88,-20.57,-20.57,25.69,1.93
276,Vao,78,NC,1581545139,90,-22.67,-22.67,27.11,7.45
277,Nyaunglebin,79,MM,1581545261,48,17.95,17.95,18.09,0.56
278,Okha,100,RU,1581545263,92,53.57,53.57,-12.92,6.66
279,Tuktoyaktuk,5,CA,1581545120,67,69.45,69.45,-32.0,3.6
280,Bengkulu,64,ID,1581545099,93,-3.8,-3.8,23.62,1.42
281,Abu Samrah,100,SY,1581545268,78,35.3,35.3,4.42,5.22
282,Nemuro,3,JP,1581545270,82,43.32,43.32,1.11,5.88
283,Gachsaran,0,IR,1581545271,80,30.36,30.36,-1.0,0.83
284,Sitka,90,US,1581545273,80,57.05,57.05,4.0,10.3
285,Abalak,100,RU,1581545275,95,58.13,58.13,-14.64,3.48
286,Gannan,100,CN,1581545277,92,47.91,47.91,-8.55,7.39
287,Lagoa,72,PT,1581545143,82,39.05,39.05,16.32,3.45
288,Kudahuvadhoo,69,MV,1581545280,80,2.67,2.67,27.64,6.87
289,Sundargarh,0,IN,1581545282,37,22.12,22.12,16.23,1.42
290,Destin,90,US,1581545024,100,30.39,30.39,24.0,6.2
291,Sovetskiy,100,RU,1581545286,95,61.36,61.36,-9.87,0.86
292,Rawlins,90,US,1581545287,92,41.79,41.79,-5.0,4.1
293,Severo-Kuril'sk,87,RU,1581545135,92,50.68,50.68,-6.94,4.48
294,Yangi Marg`ilon,75,UZ,1581545291,80,40.43,40.43,4.0,13.4
295,Sambava,100,MG,1581545292,95,-14.27,-14.27,23.27,0.89
296,Wamba,97,NG,1581545294,22,8.93,8.93,22.01,2.57
297,Saint George,1,US,1581545046,22,37.1,37.1,14.44,3.1
298,Hay River,20,CA,1581545298,63,60.82,60.82,-21.0,4.6
299,Cherskiy,0,RU,1581544730,73,68.75,68.75,-24.45,2.22
300,Ust-Maya,100,RU,1581545301,95,60.42,60.42,-25.18,2.52
301,Krasnosel'kup,100,RU,1581545138,93,65.7,65.7,-13.32,7.06
302,Chegdomyn,99,RU,1581545305,93,51.12,51.12,-16.87,1.12
303,Mount Isa,9,AU,1581545306,30,-20.73,-20.73,27.0,4.1
304,Harrison,90,US,1581545240,83,30.41,30.41,25.0,7.7
305,East London,49,ZA,1581545310,75,-33.02,-33.02,23.66,9.43
306,Bethel,1,US,1581545126,35,41.37,41.37,6.67,3.6
307,Saint-Philippe,99,RE,1581545313,78,-21.36,-21.36,27.0,3.1
308,Correntina,72,BR,1581545315,87,-13.34,-13.34,25.12,0.2
309,Tema,2,GH,1581545317,48,5.67,5.67,29.0,2.1
310,Laredo,90,US,1581545244,63,27.51,27.51,18.33,3.1
311,Quatre Cocos,40,MU,1581545320,83,-20.21,-20.21,27.0,5.7
312,Kahului,40,US,1581545322,73,20.89,20.89,25.0,3.1
313,Mumford,0,GH,1581545324,43,5.26,5.26,24.03,0.95
314,Verkhnyaya Inta,10,RU,1581545326,82,65.98,65.98,-6.42,6.64
315,Arrondissement du Havre,91,FR,1581545327,81,49.58,49.58,7.0,5.1
316,Paris,90,FR,1581545268,81,48.85,48.85,7.22,3.1
317,Wloclawek,97,PL,1581545331,73,52.65,52.65,3.89,2.24
318,Jalu,11,LY,1581545333,47,29.03,29.03,16.51,3.25
319,Batagay,98,RU,1581545112,98,67.63,67.63,-28.62,0.61
320,Te Anau,24,NZ,1581545337,88,-45.42,-45.42,13.66,0.21
321,San Policarpo,44,PH,1581545338,81,12.18,12.18,25.6,5.2
322,Gizo,100,SB,1581545340,86,-8.1,-8.1,26.15,2.97
323,Camacupa,9,AO,1581545342,86,-12.02,-12.02,17.84,1.12
324,Asau,3,RO,1581545344,63,46.43,46.43,1.11,1.0
325,Tombouctou,0,ML,1581545346,26,20.0,20.0,24.5,4.85
326,Diamantina,100,BR,1581545259,98,-18.25,-18.25,19.65,1.22
327,Chapais,90,CA,1581545349,85,49.78,49.78,-5.0,5.7
328,Pangnirtung,40,CA,1581545351,74,66.15,66.15,-30.0,2.1
329,Changli,0,CN,1581545353,77,39.7,39.7,5.31,2.63
330,Kavaratti,0,IN,1581545355,69,10.57,10.57,27.55,2.94
331,Alizai,100,PK,1581545356,83,33.54,33.54,7.89,0.99
332,Ciudad Bolivar,85,VE,1581545358,46,8.12,8.12,31.64,6.47
333,Brae,61,GB,1581545360,65,60.4,60.4,4.0,6.2
334,Peterongan,100,ID,1581545362,87,-7.54,-7.54,23.83,1.2
335,Pailitas,96,CO,1581545363,42,8.96,8.96,30.21,2.91
336,Woodward,90,US,1581545365,90,36.43,36.43,3.33,6.45
337,Kenai,75,US,1581545367,85,60.55,60.55,-2.78,3.1
338,Cecilio Baez,53,PY,1581545369,45,-25.05,-25.05,32.53,2.47
339,Lorengau,89,PG,1581545370,76,-2.02,-2.02,28.64,6.83
340,Tazovsky,99,RU,1581545372,93,67.47,67.47,-10.63,6.06
341,Alice Springs,0,AU,1581545248,36,-23.7,-23.7,24.0,1.5
342,Port Keats,65,AU,1581545376,84,-14.25,-14.25,28.88,4.54
343,Camara de Lobos,20,PT,1581545378,72,32.63,32.63,18.0,2.6
344,Impfondo,68,CG,1581545381,37,1.64,1.64,24.35,1.14
345,Marzuq,23,YE,1581545383,68,14.4,14.4,14.15,4.95
346,Lakes Entrance,98,AU,1581545385,99,-37.88,-37.88,20.0,1.79
347,Pisco,75,PE,1581545386,30,-13.7,-13.7,22.22,11.3
348,Katobu,86,ID,1581545388,94,-4.94,-4.94,23.73,0.98
349,Ulaangom,0,MN,1581545390,52,49.98,49.98,-18.02,1.4
350,Geraldton,40,AU,1581545392,88,-28.77,-28.77,22.0,4.83
351,Husavik,75,IS,1581545393,67,66.04,66.04,-5.0,5.1
352,Cururupu,38,BR,1581545395,88,-1.83,-1.83,26.03,1.55
353,San Quintin,0,MX,1581545397,45,30.48,30.48,16.97,3.8
354,Poronaysk,15,RU,1581545399,89,49.22,49.22,-8.47,1.21
355,Petropavlovsk-Kamchatsky,0,RU,1581545401,61,53.05,53.05,-10.0,4.0
356,Terra Santa,37,BR,1581545402,69,-2.1,-2.1,28.64,1.68
357,Leh,100,IN,1581545211,76,34.17,34.17,-11.31,2.17
358,Gardner,1,US,1581545406,38,42.58,42.58,5.56,2.1
359,Sao Joao da Barra,90,BR,1581545408,88,-21.64,-21.64,25.0,3.6
360,Labuhan,100,ID,1581545410,93,-6.88,-6.88,24.09,0.27
361,Riberalta,75,BO,1581545412,94,-10.98,-10.98,26.0,0.72
362,Khandyga,100,RU,1581545414,98,62.67,62.67,-28.68,1.25
363,Seydi,11,TM,1581545415,59,39.48,39.48,1.14,1.45
364,Jaguey Grande,40,CU,1581545417,66,22.53,22.53,29.0,6.2
365,Houston,90,US,1581545319,93,29.76,29.76,14.0,2.6
366,Ubari,100,LY,1581545421,20,26.59,26.59,15.81,1.94
367,Salta,90,AR,1581545422,82,-24.79,-24.79,23.0,2.1
368,Janakkala,75,FI,1581545424,86,60.83,60.83,3.0,6.2
369,Paita,0,PE,1581545426,100,-5.09,-5.09,17.0,6.7
370,Ilheus,5,BR,1581545428,62,-14.79,-14.79,29.0,3.1
371,Isangel,20,VU,1581545429,89,-19.55,-19.55,29.0,0.47
372,Constantine,100,DZ,1581545431,76,36.37,36.37,9.0,0.88
373,Brekstad,75,NO,1581545433,80,63.69,63.69,2.0,12.3
374,Padang,95,ID,1581545435,94,-0.95,-0.95,20.91,1.08
375,Tanout,68,NE,1581545436,13,14.97,14.97,17.58,4.83
376,Los Llanos de Aridane,20,ES,1581545438,82,28.66,28.66,19.44,4.6
377,North Bend,1,US,1581545440,76,43.41,43.41,11.11,4.6
378,Kesova Gora,100,RU,1581545442,94,57.58,57.58,-2.54,5.33
379,Salinopolis,100,BR,1581545444,82,-0.61,-0.61,27.24,8.18
380,Bulgan,94,MN,1581545445,78,48.81,48.81,-18.83,2.06
381,Palmer,1,US,1581545447,41,42.16,42.16,6.0,2.6
382,Concordia,0,AR,1581545449,30,-31.39,-31.39,30.56,2.68
383,Itoman,40,JP,1581545451,88,26.12,26.12,21.0,4.6
384,Ilebo,100,CD,1581545453,88,-4.32,-4.32,22.96,0.46
385,Sumbe,100,AO,1581545454,89,-11.21,-11.21,25.93,1.67
386,Warmbad,61,NA,1581545456,42,-28.45,-28.45,24.85,5.69
387,Darnah,33,LY,1581545458,85,32.77,32.77,16.43,9.69
388,Calella,75,ES,1581545460,100,41.62,41.62,11.67,4.1
389,Mechetinskaya,97,RU,1581545462,85,46.77,46.77,1.53,9.32
390,Puerto del Rosario,100,ES,1581545464,39,28.5,28.5,19.0,4.6
391,Rio Cuarto,15,AR,1581545466,65,-33.13,-33.13,27.0,9.8
392,Nouadhibou,0,MR,1581545190,18,20.93,20.93,27.0,7.2
393,Paysandu,0,UY,1581545343,47,-32.32,-32.32,28.33,0.89
394,Oxbow,1,CA,1581545471,58,49.23,49.23,-19.44,6.2
395,Upernavik,100,GL,1581545473,98,72.79,72.79,-24.52,0.57
396,Philadelphia,90,US,1581545185,42,39.95,39.95,8.0,3.1
397,Mestia,100,GE,1581545476,96,43.05,43.05,-10.59,1.59
398,Haines Junction,100,CA,1581545478,94,60.75,60.75,-8.09,3.38
399,Guerrero Negro,0,MX,1581545480,29,27.98,27.98,19.33,2.92
400,Karema,90,TZ,1581545482,72,-6.82,-6.82,23.34,1.78
401,Polunochnoye,19,RU,1581545484,89,60.87,60.87,-10.48,1.3
402,Dunedin,100,NZ,1581545485,78,-45.87,-45.87,16.11,4.0
403,Thinadhoo,100,MV,1581545487,79,0.53,0.53,28.15,4.75
404,Kumul,0,CN,1581545489,52,42.8,42.8,-8.57,0.75
405,Vaitape,21,PF,1581545491,78,-16.52,-16.52,27.81,6.43
406,Harbour Breton,100,CA,1581545493,71,47.48,47.48,-1.28,11.71
407,Grindavik,20,IS,1581545494,92,63.84,63.84,-3.0,1.5
408,Trairi,14,BR,1581545496,85,-3.28,-3.28,25.06,1.51
409,Labuan,75,MY,1581545498,88,5.28,5.28,26.0,2.1
410,Tokonou,84,GN,1581545500,16,9.65,9.65,26.15,2.04
411,Minab,0,IR,1581545502,71,27.15,27.15,12.0,2.1
412,Maceio,20,BR,1581545504,83,-9.67,-9.67,27.0,4.1
413,Tigil,85,RU,1581545505,99,57.8,57.8,-21.22,1.12
414,Accra,2,GH,1581545478,48,5.56,5.56,29.0,2.1
415,Felanitx,40,ES,1581545510,87,39.47,39.47,15.0,2.6
416,Rio Tercero,32,AR,1581545512,32,-32.17,-32.17,29.53,7.15
417,Longonjo,26,AO,1581545513,90,-12.91,-12.91,16.17,0.69
418,Karpathos,47,GR,1581545515,87,35.51,35.51,14.0,2.1
419,Yulara,0,AU,1581545517,26,-25.24,-25.24,29.0,3.6
420,Kuching,75,MY,1581545519,100,1.55,1.55,25.0,1.0
421,Kazanskoye,88,RU,1581545521,85,55.64,55.64,-16.47,3.61
422,Novovorontsovka,83,UA,1581545524,90,47.5,47.5,1.12,6.64
423,Soyo,100,AO,1581545526,77,-6.13,-6.13,27.18,2.35
424,Caicedo,75,CO,1581545527,23,6.41,6.41,30.0,7.2
425,Soc Trang,98,VN,1581545529,94,9.6,9.6,25.0,3.1
426,Wanlaweyn,0,SO,1581545531,69,2.62,2.62,25.17,6.32
427,'Ahuimanu,75,US,1581545533,78,21.44,21.44,26.67,3.1
428,Pamfila,75,GR,1581545535,81,39.16,39.16,9.0,6.7
429,Hanchuan,4,CN,1581545536,93,30.65,30.65,10.0,3.0
430,Yaan,76,NG,1581545538,16,7.38,7.38,26.19,2.38
431,Kodinar,0,IN,1581545540,57,20.79,20.79,22.18,2.84
432,Kutum,0,SD,1581545542,18,14.2,14.2,9.5,3.43
433,Tabou,0,CI,1581545545,87,4.42,4.42,25.4,1.24
434,Hambantota,20,LK,1581545547,100,6.12,6.12,25.0,6.7
435,Waipawa,100,NZ,1581545548,68,-41.41,-41.41,20.0,10.3
436,Harper,0,LR,1581545346,87,4.38,4.38,25.4,1.24
437,Port Blair,12,IN,1581545552,88,11.67,11.67,23.0,1.0
438,Moreira Sales,0,BR,1581545554,72,-24.06,-24.06,26.86,1.63
439,Yining,100,CN,1581545556,97,29.04,29.04,10.9,0.5
440,Naifaru,14,MV,1581545557,75,5.44,5.44,27.66,5.21
441,Atikokan,0,CA,1581545559,73,48.76,48.76,-22.31,4.59
442,Itabirito,75,BR,1581545561,83,-20.25,-20.25,24.0,2.1
443,Saint-Francois,100,FR,1581545563,86,46.42,46.42,5.56,1.54
444,Anloga,23,GH,1581545564,56,5.79,5.79,27.43,4.61
445,Zyryanka,100,RU,1581545527,70,65.75,65.75,-29.23,0.78
446,Rabo de Peixe,20,PT,1581545568,87,37.8,37.8,16.0,3.1
447,Forio,3,IT,1581545570,81,40.73,40.73,12.22,0.5
448,Distrikt Brokopondo,83,SR,1581545572,65,4.75,4.75,27.73,1.68
449,Monte Alto,3,BR,1581545574,86,-21.26,-21.26,24.14,4.46
450,Iracoubo,68,GF,1581545575,79,5.48,5.48,26.08,6.96
451,Imbituba,75,BR,1581545577,100,-28.24,-28.24,22.0,2.6
452,Pemangkat,92,ID,1581545579,93,1.17,1.17,24.4,3.06
453,Marsh Harbour,35,BS,1581545582,81,26.54,26.54,24.27,6.89
454,Le Mars,90,US,1581545584,78,42.79,42.79,-8.0,13.4
455,Nanortalik,0,GL,1581545585,48,60.14,60.14,-8.73,5.8
456,Rio Grande,40,BR,1581545587,73,-32.03,-32.03,24.0,8.7
457,Humen,20,CN,1581545589,93,22.82,22.82,20.0,1.5
458,Abu Dhabi,20,AE,1581545591,67,24.47,24.47,16.0,5.7
459,Port Hedland,0,AU,1581545592,76,-20.32,-20.32,26.98,4.36
460,Erice,97,IT,1581545594,46,38.04,38.04,12.0,2.1
461,Caucaia,57,BR,1581545596,70,-3.74,-3.74,29.0,4.6
462,Santa Cruz de la Sierra,40,BO,1581545418,52,-17.8,-17.8,32.0,3.1
463,San Juan,27,AR,1581545346,24,-31.54,-31.54,34.34,3.28
464,Berlevag,100,NO,1581545602,100,70.86,70.86,-3.0,11.3
465,Simdega,0,IN,1581545603,33,22.62,22.62,14.98,1.37
466,Oda,75,JP,1581545605,76,35.18,35.18,13.0,8.7
467,Hong Kong,20,HK,1581545367,93,22.29,22.29,20.0,1.5
468,Pacifica,20,US,1581545608,55,37.61,37.61,22.22,3.1
469,Mana,70,GF,1581545610,73,5.66,5.66,26.14,2.57
470,Coquimbo,98,CL,1581545612,68,-29.95,-29.95,26.67,6.2
471,Nabire,96,ID,1581545614,97,-3.37,-3.37,22.02,0.91
472,Vestmannaeyjar,76,IS,1581545616,81,63.44,63.44,-2.25,3.53
473,Mainz,1,DE,1581545618,74,50.0,50.0,4.0,3.41
474,Sonoma,1,US,1581545620,32,38.55,38.55,22.78,1.22
475,Kayiry,28,UA,1581545622,85,46.95,46.95,1.25,5.87
476,Arlit,100,NE,1581545623,13,18.74,18.74,19.3,1.44
477,Sa Kaeo,93,TH,1581545625,83,13.81,13.81,24.12,1.98
478,Promyshlennyy,100,RU,1581545627,93,67.58,67.58,-7.37,6.71
479,Sorland,75,NO,1581545629,64,67.67,67.67,0.0,6.2
480,Verkhoyansk,100,RU,1581545630,96,67.54,67.54,-30.14,0.9
481,Erzin,90,TR,1581545632,75,36.96,36.96,5.0,4.6
482,Mapimi,5,MX,1581545634,15,25.82,25.82,26.0,6.2
483,Wagga Wagga,100,AU,1581545620,73,-35.12,-35.12,25.0,2.1
484,Yambio,33,SS,1581545637,30,4.57,4.57,21.78,1.27
485,Isiro,6,CD,1581545639,37,2.77,2.77,20.01,0.59
486,Guaymas,0,MX,1581545641,36,27.93,27.93,21.11,2.24
487,Shingu,100,JP,1581545643,87,33.73,33.73,17.72,14.16
488,Ostrovnoy,100,RU,1581545644,85,68.05,68.05,-0.25,10.74
489,Waingapu,86,ID,1581545646,74,-9.66,-9.66,28.02,4.09
490,Nisia Floresta,40,BR,1581545648,78,-6.09,-6.09,29.0,6.7
491,Suluq,62,LY,1581545650,90,31.67,31.67,14.3,3.69
492,Huari,94,PE,1581545652,63,-9.33,-9.33,12.22,3.57
493,Burnie,100,AU,1581545653,77,-41.07,-41.07,16.01,5.73
494,Llanes,39,ES,1581545655,96,43.42,43.42,11.67,2.04
495,Santa Maria,20,BR,1581545657,51,-29.68,-29.68,29.0,6.7
496,Dingle,7,PH,1581545659,93,11.0,11.0,22.04,3.69
497,Tezpur,0,IN,1581545661,68,26.63,26.63,15.08,0.77
498,Ixtapa,90,MX,1581545435,69,20.7,20.7,25.56,4.6
499,Chara,0,RU,1581545664,64,56.91,56.91,-30.84,0.43
500,Mufulira,100,ZM,1581545666,95,-12.55,-12.55,18.51,1.29
501,Goba,70,ET,1581545668,87,7.02,7.02,11.79,1.87
502,Eenhana,90,NA,1581545670,61,-17.47,-17.47,25.0,2.1
503,Ketchikan,90,US,1581545594,93,55.34,55.34,4.0,15.4
504,Forbes,41,AU,1581545673,70,-33.38,-33.38,25.0,4.06
505,Kismayo,1,SO,1581545407,81,-0.36,-0.36,27.24,7.78
506,Del Rio,1,US,1581545677,42,29.36,29.36,19.44,6.7
507,Tromso,75,NO,1581545679,97,69.65,69.65,0.0,4.6
508,Canico,20,PT,1581545681,72,32.63,32.63,18.0,2.6
509,Aklavik,20,CA,1581545682,74,68.22,68.22,-28.0,3.24
510,Lagos,0,NG,1581545686,65,6.58,6.58,26.0,1.31
511,Sarahan,20,IN,1581545688,55,31.52,31.52,-5.24,5.03
512,Luan,97,CH,1581545689,64,46.36,46.36,4.44,1.0
513,Hualmay,79,PE,1581545692,62,-11.1,-11.1,25.17,4.79
514,Awjilah,11,LY,1581545694,47,29.11,29.11,16.51,3.25
515,Drayton Valley,100,CA,1581545696,88,53.22,53.22,-8.21,2.71
516,LaBelle,1,US,1581545697,55,26.76,26.76,30.0,4.6
517,Bacolod City,66,PH,1581545699,80,10.67,10.67,22.59,1.86
518,Ghanzi,7,BW,1581545701,63,-21.57,-21.57,22.14,3.9
519,Reconquista,0,AR,1581545703,19,-29.15,-29.15,35.82,3.54
520,Mayo,90,US,1581545705,75,38.89,38.89,8.33,1.68
521,Adrar,0,MR,1581545707,28,20.5,20.5,24.66,3.82
522,Fallon,1,US,1581545708,27,39.47,39.47,12.0,2.1
523,Matadi,100,CD,1581545710,92,-5.82,-5.82,24.59,2.53
524,Talavera de la Reina,100,ES,1581545712,94,39.96,39.96,10.94,1.8
525,Kruisfontein,0,ZA,1581545714,92,-34.0,-34.0,19.47,2.1
526,Vilhena,75,BR,1581545698,74,-12.74,-12.74,28.0,1.5
527,Luwuk,100,ID,1581545718,75,-0.95,-0.95,27.24,3.91
528,Kattivakkam,20,IN,1581545719,83,13.22,13.22,26.11,1.0
529,Yeniseysk,100,RU,1581545721,96,58.45,58.45,-17.11,1.71
530,Moron,0,AR,1581545723,42,-34.65,-34.65,28.33,5.7
531,Taksimo,0,RU,1581545724,83,56.34,56.34,-26.64,1.39
532,Sobolevo,100,RU,1581545726,97,54.43,54.43,0.44,3.6
533,Zhigansk,1,RU,1581545728,96,66.77,66.77,-37.35,0.17
534,Richards Bay,0,ZA,1581545730,74,-28.78,-28.78,24.15,3.33
535,Muzhi,0,RU,1581545732,92,65.37,65.37,-11.74,2.38
536,Tulln,75,AT,1581545733,86,48.33,48.33,4.44,5.1
537,Derzhavinsk,97,KZ,1581545735,84,51.1,51.1,-14.67,4.63
538,Omsukchan,0,RU,1581545737,20,62.53,62.53,-26.53,0.83
539,Daru,100,PG,1581545739,90,-9.08,-9.08,24.0,3.68
540,Rio Gallegos,40,AR,1581545741,29,-51.62,-51.62,17.0,9.8
541,Pitimbu,63,BR,1581545742,78,-7.47,-7.47,28.0,5.1
542,Mango,1,US,1581545548,74,27.98,27.98,30.56,4.6
